SRCS_LEDB1,SRCS_LEDB1_FLUX,SRCS_LEDB1_SETTLE,SRCS_LEDB1_PRECHARGE_DURATION,SRCS_LEDB1_PRECHARGE_FLUX,WFI_SRCS_LEDB1_CLEANUP,SRCS_LEDB2,SRCS_LEDB2_FLUX,SRCS_LEDB2_SETTLE,SRCS_LEDB2_PRECHARGE_DURATION,SRCS_LEDB2_PRECHARGE_FLUX,WFI_SRCS_LEDB2_CLEANUP,NEXP,VISIT_NUMBER,MA_TABLE,RESULTANTS_PER_EXPOSURE,ACT_TIME
,,,,,,,,,,,,3,1,DROP_10_OF_11,40,4092
LED11,0.3,YES,,,YES,,,,,,,3,2,DROP_10_OF_11,40,4112
,,,,,,LED21,0.6,YES,,,,3,3,DROP_4_OF_5,44,2066
LED11,0.3,YES,,,YES,LED21,0.6,NO,,,YES,3,3,DROP_4_OF_5,29,1368.5
,,,,,,,,,,,,3,4,DROP_4_OF_5,19,883.5
LED11,1.4,YES,,,,,,,,,,3,5,DROP_2_OF_3,31,884.9
LED11,1.4,NO,,,YES,LED21,0.6,YES,,,,3,5,DROP_2_OF_3,22,633.8
,,,,,,LED21,2.9,YES,,,,3,5,DROP_2_OF_3,15,438.5
LED11,0.3,YES,,,,LED21,2.9,NO,,,,3,5,DROP_2_OF_3,14,410.6
LED11,1.4,YES,,,YES,LED21,2.9,NO,,,YES,3,5,DROP_2_OF_3,11,326.9
,,,,,,,,,,,,3,6,IM_DIAGNOSTIC,22,204.6
LED11,6.1,YES,,,,,,,,,,3,7,IM_DIAGNOSTIC,22,224.6
LED11,6.1,NO,,,YES,LED21,2.9,YES,,,,3,7,IM_DIAGNOSTIC,15,159.5
,,,,,,LED21,12.9,YES,,,,3,7,IM_DIAGNOSTIC,11,122.3
LED11,1.4,YES,,,,LED21,12.9,NO,,,,3,7,IM_DIAGNOSTIC,10,113
LED11,6.1,YES,,,YES,LED21,12.9,NO,,,YES,3,7,IM_DIAGNOSTIC,7,85.1
,,,,,,,,,,,,3,8,IM_DIAGNOSTIC,7,65.1
LED11,6.1,YES,,,,,,,,,,3,9,DROP_4_OF_5,32,1508
LED11,6.1,NO,,,YES,LED21,2.9,YES,,,,3,9,DROP_4_OF_5,22,1043
,,,,,,LED21,12.9,YES,,,,3,9,DROP_4_OF_5,16,764
LED11,1.4,YES,,,,LED21,12.9,NO,,,,3,9,DROP_4_OF_5,14,671
LED11,6.1,YES,,,YES,LED21,12.9,NO,,,YES,3,9,DROP_4_OF_5,11,531.5
,,,,,,,,,,,,3,10,DROP_1_OF_2,18,334.8
LED11,27.3,YES,,,,,,,,,,3,11,IM_DIAGNOSTIC,36,354.8
LED11,27.3,NO,,,YES,LED21,12.9,YES,,,,3,11,IM_DIAGNOSTIC,25,252.5
,,,,,,LED21,58,YES,,,,3,11,IM_DIAGNOSTIC,17,178.1
LED11,6.1,YES,,,,LED21,58,NO,,,,3,11,IM_DIAGNOSTIC,16,168.8
LED11,27.3,YES,,,YES,LED21,58,NO,,,YES,3,11,IM_DIAGNOSTIC,12,131.6
,,,,,,,,,,,,3,12,IM_DIAGNOSTIC,8,74.4
LED11,123,YES,,,,,,,,,,3,13,IM_DIAGNOSTIC,8,94.4
LED11,123,NO,,,YES,LED21,58,YES,,,,4,13,IM_DIAGNOSTIC,6,94.4
,,,,,,LED21,261,YES,,,,5,13,IM_DIAGNOSTIC,4,82
LED11,27.3,YES,,,,LED21,261,NO,,,,5,13,IM_DIAGNOSTIC,4,82
LED11,123,YES,,,YES,LED21,261,NO,,,YES,5,13,IM_DIAGNOSTIC,4,82
,,,,,,,,,,,,5,14,IM_DIAGNOSTIC,4,62
LED11,123,YES,,,,,,,,,,3,15,DROP_3_OF_4,27,1024.4
LED11,123,NO,,,YES,LED21,58,YES,,,,3,15,DROP_3_OF_4,18,689.6
,,,,,,LED21,261,YES,,,,3,15,DROP_3_OF_4,13,503.6
LED11,27.3,YES,,,,LED21,261,NO,,,,3,15,DROP_3_OF_4,12,466.4
LED11,123,YES,,,YES,LED21,261,NO,,,YES,3,15,DROP_3_OF_4,9,354.8
,,,,,,,,,,,,3,16,IM_DIAGNOSTIC,24,223.2
LED11,553.6,YES,,,,,,,,,,3,17,IM_DIAGNOSTIC,24,243.2
LED11,553.6,NO,,,YES,LED21,261,YES,,,,3,17,IM_DIAGNOSTIC,16,168.8
,,,,,,LED21,1174.3,YES,,,,3,17,IM_DIAGNOSTIC,11,122.3
LED11,123,YES,,,,LED21,1174.3,NO,,,,3,17,IM_DIAGNOSTIC,10,113
LED11,553.6,YES,,,YES,LED21,1174.3,NO,,,YES,3,17,IM_DIAGNOSTIC,8,94.4
,,,,,,,,,,,,4,18,IM_DIAGNOSTIC,6,74.4
LED11,2491.1,YES,,,,,,,,,,4,19,IM_DIAGNOSTIC,6,94.4
LED11,2491.1,NO,,,YES,LED21,1174.3,YES,,,,5,19,IM_DIAGNOSTIC,4,82
,,,,,,LED21,5284.5,YES,,,,5,19,IM_DIAGNOSTIC,4,82
LED11,553.6,YES,,,,LED21,5284.5,NO,,,,5,19,IM_DIAGNOSTIC,4,82
LED11,2491.1,YES,,,YES,LED21,5284.5,NO,,,YES,5,19,IM_DIAGNOSTIC,4,82
,,,,,,,,,,,,5,20,IM_DIAGNOSTIC,4,62
