SRCS_LEDB1,SRCS_LEDB1_FLUX,SRCS_LEDB1_SETTLE,SRCS_LEDB1_PRECHARGE_DURATION,SRCS_LEDB1_PRECHARGE_FLUX,WFI_SRCS_LEDB1_CLEANUP,SRCS_LEDB2,SRCS_LEDB2_FLUX,SRCS_LEDB2_SETTLE,SRCS_LEDB2_PRECHARGE_DURATION,SRCS_LEDB2_PRECHARGE_FLUX,WFI_SRCS_LEDB2_CLEANUP,NEXP,VISIT_NUMBER,MA_TABLE,RESULTANTS_PER_EXPOSURE,ACT_TIME
,,,,,,,,,,,,3,1,IM_DIAGNOSTIC,22,204.6
LED11,6.1,YES,,,YES,,,,,,,3,2,IM_DIAGNOSTIC,22,224.6
,,,,,,LED21,12.9,YES,,,,3,3,IM_DIAGNOSTIC,11,122.3
LED11,6.1,YES,,,YES,LED21,12.9,NO,,,YES,3,3,IM_DIAGNOSTIC,7,85.1
,,,,,,,,,,,,3,4,IM_DIAGNOSTIC,7,65.1
LED11,6.1,YES,,,YES,,,,,,,3,5,DROP_10_OF_11,16,1563.8
,,,,,,LED21,12.9,YES,,,,3,6,DROP_2_OF_3,26,726.8
LED11,6.1,YES,,,YES,LED21,12.9,NO,,,YES,3,6,DROP_2_OF_3,18,503.6
,,,,,,,,,,,,3,7,DROP_1_OF_2,19,344.1
LED11,27.3,YES,,,,,,,,,,3,8,IM_DIAGNOSTIC,36,354.8
LED11,27.3,NO,,,YES,LED21,12.9,YES,,,,3,8,IM_DIAGNOSTIC,25,252.5
,,,,,,LED21,58.0,YES,,,,3,8,IM_DIAGNOSTIC,17,178.1
LED11,6.1,YES,,,,LED21,58.0,NO,,,,3,8,IM_DIAGNOSTIC,16,168.8
LED11,27.3,YES,,,YES,LED21,58.0,NO,,,YES,3,8,IM_DIAGNOSTIC,12,131.6
,,,,,,,,,,,,3,9,IM_DIAGNOSTIC,8,74.4
LED11,123.0,YES,,,,,,,,,,3,10,IM_DIAGNOSTIC,8,94.4
LED11,123.0,NO,,,YES,LED21,58.0,YES,,,,4,10,IM_DIAGNOSTIC,6,94.4
,,,,,,LED21,261.0,YES,,,,5,10,IM_DIAGNOSTIC,4,82.0
LED11,27.3,YES,,,,LED21,261.0,NO,,,,5,10,IM_DIAGNOSTIC,4,82.0
LED11,123.0,YES,,,YES,LED21,261.0,NO,,,YES,5,10,IM_DIAGNOSTIC,4,82.0
,,,,,,,,,,,,5,11,IM_DIAGNOSTIC,4,62.0
LED11,123.0,YES,,,,,,,,,,3,12,DROP_3_OF_4,27,996.5
LED11,123.0,NO,,,YES,LED21,58.0,YES,,,,3,12,DROP_3_OF_4,19,698.9
,,,,,,LED21,261.0,YES,,,,3,12,DROP_3_OF_4,14,512.9
LED11,27.3,YES,,,,LED21,261.0,NO,,,,3,12,DROP_3_OF_4,12,438.5
LED11,123.0,YES,,,YES,LED21,261.0,NO,,,YES,3,12,DROP_3_OF_4,10,364.1
,,,,,,,,,,,,3,13,IM_DIAGNOSTIC,24,223.2
LED11,553.6,YES,,,,,,,,,,3,14,IM_DIAGNOSTIC,24,243.2
LED11,553.6,NO,,,YES,LED21,261.0,YES,,,,3,14,IM_DIAGNOSTIC,16,168.8
,,,,,,LED21,1174.3,YES,,,,3,14,IM_DIAGNOSTIC,11,122.3
LED11,123.0,YES,,,,LED21,1174.3,NO,,,,3,14,IM_DIAGNOSTIC,10,113.0
LED11,553.6,YES,,,YES,LED21,1174.3,NO,,,YES,3,14,IM_DIAGNOSTIC,8,94.4
,,,,,,,,,,,,4,15,IM_DIAGNOSTIC,6,74.4
LED11,2491.1,YES,,,,,,,,,,4,16,IM_DIAGNOSTIC,6,94.4
LED11,2491.1,NO,,,YES,LED21,1174.3,YES,,,,5,16,IM_DIAGNOSTIC,4,82.0
,,,,,,LED21,5284.5,YES,,,,5,16,IM_DIAGNOSTIC,4,82.0
LED11,553.6,YES,,,,LED21,5284.5,NO,,,,5,16,IM_DIAGNOSTIC,4,82.0
LED11,2491.1,YES,,,YES,LED21,5284.5,NO,,,YES,5,16,IM_DIAGNOSTIC,4,82.0
,,,,,,,,,,,,5,17,IM_DIAGNOSTIC,4,62.0
