PASSPLAN_LABEL,OBSERVATION_NUMBER,OBSERVATION_TYPE,VISIT_NUMBER,TARGET,OPTICAL_ELEMENT,NEXP,MA_TABLE,RESULTANTS_PER_EXPOSURE,SRCS_LEDB1,SRCS_LEDB1_FLUX,SRCS_LEDB1_PRECHARGE_DURATION,SRCS_LEDB1_PRECHARGE_FLUX,SRCS_LEDB2,SRCS_LEDB2_FLUX,SRCS_LEDB2_PRECHARGE_DURATION,SRCS_LEDB2_PRECHARGE_FLUX,WFI_SRCS_LEDB1_CLEANUP,WFI_SRCS_LEDB2_CLEANUP,FIDUCIAL_APERTURE
F062-T1-WFI02,1,dark,1,NONE,DARK,3,DROP_2_OF_3,13,,,,,,,,,,,
F062-T1-WFI02,2,lit,2,1,F062,3,DROP_2_OF_3,13,,,,,,,,,,,WFI02_FULL
F062-T1-WFI02,3,crnl,3,1,F062,3,DROP_2_OF_3,13,LED11,2,,,,,,,NO,,WFI02_FULL
F062-T1-WFI02,3,crnl,3,1,F062,3,DROP_2_OF_3,13,LED11,20,,,,,,,NO,,WFI02_FULL
F062-T1-WFI02,3,crnl,3,1,F062,6,DROP_2_OF_3,6,LED11,200,,,,,,,NO,,WFI02_FULL
F062-T1-WFI02,3,crnl,3,1,F062,12,DROP_2_OF_3,4,LED11,500,,,,,,,YES,,WFI02_FULL
F087-T1-WFI02,1,dark,1,NONE,DARK,3,DROP_2_OF_3,13,,,,,,,,,,,
F087-T1-WFI02,2,lit,2,1,F087,3,DROP_2_OF_3,13,,,,,,,,,,,WFI02_FULL
F087-T1-WFI02,3,crnl,3,1,F087,3,DROP_2_OF_3,13,LED12,2,,,,,,,NO,,WFI02_FULL
F087-T1-WFI02,3,crnl,3,1,F087,3,DROP_2_OF_3,13,LED12,20,,,,,,,NO,,WFI02_FULL
F087-T1-WFI02,3,crnl,3,1,F087,6,DROP_2_OF_3,6,LED12,200,,,,,,,NO,,WFI02_FULL
F087-T1-WFI02,3,crnl,3,1,F087,12,DROP_2_OF_3,4,LED12,500,,,,,,,YES,,WFI02_FULL
F106-T1-WFI02,1,dark,1,NONE,DARK,3,DROP_2_OF_3,13,,,,,,,,,,,
F106-T1-WFI02,2,lit,2,1,F106,3,DROP_2_OF_3,13,,,,,,,,,,,WFI02_FULL
F106-T1-WFI02,3,crnl,3,1,F106,3,DROP_2_OF_3,13,LED13,2,,,,,,,NO,,WFI02_FULL
F106-T1-WFI02,3,crnl,3,1,F106,3,DROP_2_OF_3,13,LED13,20,,,,,,,NO,,WFI02_FULL
F106-T1-WFI02,3,crnl,3,1,F106,6,DROP_2_OF_3,6,LED13,200,,,,,,,NO,,WFI02_FULL
F106-T1-WFI02,3,crnl,3,1,F106,12,DROP_2_OF_3,4,LED13,500,,,,,,,YES,,WFI02_FULL
F129-T1-WFI02,1,dark,1,NONE,DARK,3,DROP_2_OF_3,13,,,,,,,,,,,
F129-T1-WFI02,2,lit,2,1,F129,3,DROP_2_OF_3,13,,,,,,,,,,,WFI02_FULL
F129-T1-WFI02,3,crnl,3,1,F129,3,DROP_2_OF_3,13,LED14,2,30,326.0,,,,,NO,,WFI02_FULL
F129-T1-WFI02,3,crnl,3,1,F129,3,DROP_2_OF_3,13,LED14,20,30,2277.8,,,,,NO,,WFI02_FULL
F129-T1-WFI02,3,crnl,3,1,F129,6,DROP_2_OF_3,6,LED14,200,30,13777.8,,,,,NO,,WFI02_FULL
F129-T1-WFI02,3,crnl,3,1,F129,12,DROP_2_OF_3,4,LED14,500,30,35425.4,,,,,YES,,WFI02_FULL
F158-T1-WFI02,1,dark,1,NONE,DARK,3,DROP_2_OF_3,13,,,,,,,,,,,
F158-T1-WFI02,2,lit,2,1,F158,3,DROP_2_OF_3,13,,,,,,,,,,,WFI02_FULL
F158-T1-WFI02,3,crnl,3,1,F158,3,DROP_2_OF_3,13,LED15,2,30,155.1,,,,,NO,,WFI02_FULL
F158-T1-WFI02,3,crnl,3,1,F158,3,DROP_2_OF_3,13,LED15,20,30,1070.2,,,,,NO,,WFI02_FULL
F158-T1-WFI02,3,crnl,3,1,F158,6,DROP_2_OF_3,6,LED15,200,30,7290.0,,,,,NO,,WFI02_FULL
F158-T1-WFI02,3,crnl,3,1,F158,12,DROP_2_OF_3,4,LED15,500,30,20267.7,,,,,YES,,WFI02_FULL
F184-T1-WFI02,1,dark,1,NONE,DARK,3,DROP_2_OF_3,13,,,,,,,,,,,
F184-T1-WFI02,2,lit,2,1,F184,3,DROP_2_OF_3,13,,,,,,,,,,,WFI02_FULL
F184-T1-WFI02,3,crnl,3,1,F184,3,DROP_2_OF_3,13,LED16,2,30,111.8,,,,,NO,,WFI02_FULL
F184-T1-WFI02,3,crnl,3,1,F184,3,DROP_2_OF_3,13,LED16,20,30,865.4,,,,,NO,,WFI02_FULL
F184-T1-WFI02,3,crnl,3,1,F184,6,DROP_2_OF_3,6,LED16,200,30,5769.6,,,,,NO,,WFI02_FULL
F184-T1-WFI02,3,crnl,3,1,F184,12,DROP_2_OF_3,4,LED16,500,30,16187.7,,,,,YES,,WFI02_FULL
F062-T1-WFI03,1,dark,1,NONE,DARK,3,DROP_2_OF_3,13,,,,,,,,,,,
F062-T1-WFI03,2,lit,2,1,F062,3,DROP_2_OF_3,13,,,,,,,,,,,WFI03_FULL
F062-T1-WFI03,3,crnl,3,1,F062,3,DROP_2_OF_3,13,LED11,2,,,,,,,NO,,WFI03_FULL
F062-T1-WFI03,3,crnl,3,1,F062,3,DROP_2_OF_3,13,LED11,20,,,,,,,NO,,WFI03_FULL
F062-T1-WFI03,3,crnl,3,1,F062,6,DROP_2_OF_3,6,LED11,200,,,,,,,NO,,WFI03_FULL
F062-T1-WFI03,3,crnl,3,1,F062,12,DROP_2_OF_3,4,LED11,500,,,,,,,YES,,WFI03_FULL
F087-T1-WFI03,1,dark,1,NONE,DARK,3,DROP_2_OF_3,13,,,,,,,,,,,
F087-T1-WFI03,2,lit,2,1,F087,3,DROP_2_OF_3,13,,,,,,,,,,,WFI03_FULL
F087-T1-WFI03,3,crnl,3,1,F087,3,DROP_2_OF_3,13,LED12,2,,,,,,,NO,,WFI03_FULL
F087-T1-WFI03,3,crnl,3,1,F087,3,DROP_2_OF_3,13,LED12,20,,,,,,,NO,,WFI03_FULL
F087-T1-WFI03,3,crnl,3,1,F087,6,DROP_2_OF_3,6,LED12,200,,,,,,,NO,,WFI03_FULL
F087-T1-WFI03,3,crnl,3,1,F087,12,DROP_2_OF_3,4,LED12,500,,,,,,,YES,,WFI03_FULL
F106-T1-WFI03,1,dark,1,NONE,DARK,3,DROP_2_OF_3,13,,,,,,,,,,,
F106-T1-WFI03,2,lit,2,1,F106,3,DROP_2_OF_3,13,,,,,,,,,,,WFI03_FULL
F106-T1-WFI03,3,crnl,3,1,F106,3,DROP_2_OF_3,13,LED13,2,,,,,,,NO,,WFI03_FULL
F106-T1-WFI03,3,crnl,3,1,F106,3,DROP_2_OF_3,13,LED13,20,,,,,,,NO,,WFI03_FULL
F106-T1-WFI03,3,crnl,3,1,F106,6,DROP_2_OF_3,6,LED13,200,,,,,,,NO,,WFI03_FULL
F106-T1-WFI03,3,crnl,3,1,F106,12,DROP_2_OF_3,4,LED13,500,,,,,,,YES,,WFI03_FULL
F129-T1-WFI03,1,dark,1,NONE,DARK,3,DROP_2_OF_3,13,,,,,,,,,,,
F129-T1-WFI03,2,lit,2,1,F129,3,DROP_2_OF_3,13,,,,,,,,,,,WFI03_FULL
F129-T1-WFI03,3,crnl,3,1,F129,3,DROP_2_OF_3,13,LED14,2,30,326.0,,,,,NO,,WFI03_FULL
F129-T1-WFI03,3,crnl,3,1,F129,3,DROP_2_OF_3,13,LED14,20,30,2277.8,,,,,NO,,WFI03_FULL
F129-T1-WFI03,3,crnl,3,1,F129,6,DROP_2_OF_3,6,LED14,200,30,13777.8,,,,,NO,,WFI03_FULL
F129-T1-WFI03,3,crnl,3,1,F129,12,DROP_2_OF_3,4,LED14,500,30,35425.4,,,,,YES,,WFI03_FULL
F158-T1-WFI03,1,dark,1,NONE,DARK,3,DROP_2_OF_3,13,,,,,,,,,,,
F158-T1-WFI03,2,lit,2,1,F158,3,DROP_2_OF_3,13,,,,,,,,,,,WFI03_FULL
F158-T1-WFI03,3,crnl,3,1,F158,3,DROP_2_OF_3,13,LED15,2,30,155.1,,,,,NO,,WFI03_FULL
F158-T1-WFI03,3,crnl,3,1,F158,3,DROP_2_OF_3,13,LED15,20,30,1070.2,,,,,NO,,WFI03_FULL
F158-T1-WFI03,3,crnl,3,1,F158,6,DROP_2_OF_3,6,LED15,200,30,7290.0,,,,,NO,,WFI03_FULL
