PASSPLAN_LABEL,OBSERVATION_NUMBER,OBSERVATION_TYPE,VISIT_NUMBER,TARGET,OPTICAL_ELEMENT,NEXP,MA_TABLE,RESULTANTS_PER_EXPOSURE,SRCS_LEDB1,SRCS_LEDB1_FLUX,SRCS_LEDB1_PRECHARGE_DURATION,SRCS_LEDB1_PRECHARGE_FLUX,SRCS_LEDB2,SRCS_LEDB2_FLUX,SRCS_LEDB2_PRECHARGE_DURATION,SRCS_LEDB2_PRECHARGE_FLUX,WFI_SRCS_LEDB1_CLEANUP,WFI_SRCS_LEDB2_CLEANUP,FIDUCIAL_APERTURE,ACTIVITY_DURATION_SEC,CUMULATIVE_TIME_SEC
T1-Precursor,1,dark,1,NONE,DARK,3,DROP_2_OF_3,13,,,,,,,,,,,,396.522,396.522
T1-Precursor,2,sky,2,1,F087,2,DROP_2_OF_3,13,,,,,,,,,,,WFI02_FULL,264.348,660.87
T1-Precursor,3,lolo,3,1,F087,2,DROP_2_OF_3,13,LED12,120.0,,,,,,,YES,,WFI02_FULL,264.348,925.218
T1-Precursor,4,sky,4,1,F146,2,DROP_2_OF_3,13,,,,,,,,,,,WFI02_FULL,264.348,1189.566
T1-Precursor,5,lolo,5,1,F146,2,DROP_2_OF_3,13,LED15,120.0,30.0,5091.2,,,,,YES,,WFI02_FULL,264.348,1453.914
T1-Precursor,6,sky,6,1,F184,2,DROP_2_OF_3,13,,,,,,,,,,,WFI02_FULL,264.348,1718.262
T1-Precursor,7,lolo,7,1,F184,2,DROP_2_OF_3,13,LED16,280.0,30.0,9500.5,,,,,YES,,WFI02_FULL,264.348,1982.61
T1-Precursor,8,sky,8,1,F158,2,DROP_2_OF_3,13,,,,,,,,,,,WFI02_FULL,264.348,2246.958
T1-Precursor,9,lolo,9,1,F158,2,DROP_2_OF_3,13,LED15,120.0,30.0,5091.2,,,,,YES,,WFI02_FULL,264.348,2511.306
T1-Precursor,10,sky,10,1,Prism,2,SP_190_12,12,,,,,,,,,,,WFI02_FULL,414.728,2926.034
T1-Precursor,11,sky,11,1,F129,2,DROP_2_OF_3,13,,,,,,,,,,,WFI02_FULL,264.348,3190.382
T1-Precursor,12,lolo,12,1,F129,2,DROP_2_OF_3,13,LED14,120.0,30.0,10014.8,,,,,YES,,WFI02_FULL,264.348,3454.73
T1-Precursor,13,sky,13,1,F106,2,DROP_2_OF_3,13,,,,,,,,,,,WFI02_FULL,264.348,3719.078
T1-Precursor,14,lolo,14,1,F106,2,DROP_2_OF_3,13,LED13,120.0,,,,,,,YES,,WFI02_FULL,264.348,3983.426
T1-Precursor,15,sky,15,1,F062,2,DROP_2_OF_3,13,,,,,,,,,,,WFI02_FULL,264.348,4247.774
