PASSPLAN_LABEL,OBSERVATION_NUMBER,OBSERVATION_TYPE,VISIT_NUMBER,TARGET,OPTICAL_ELEMENT,NEXP,MA_TABLE,RESULTANTS_PER_EXPOSURE,SRCS_LEDB1,SRCS_LEDB1_FLUX,SRCS_LEDB1_PRECHARGE_DURATION,SRCS_LEDB1_PRECHARGE_FLUX,SRCS_LEDB2,SRCS_LEDB2_FLUX,SRCS_LEDB2_PRECHARGE_DURATION,SRCS_LEDB2_PRECHARGE_FLUX,WFI_SRCS_LEDB1_CLEANUP,WFI_SRCS_LEDB2_CLEANUP,FIDUCIAL_APERTURE
F087-1,1,dark,1,NONE,DARK,1,DROP_2_OF_3,13,,,,,,,,,,,
F087-1,2,lit,2,1,F087,3,DROP_2_OF_3,13,,,,,,,,,,,WFI02_FULL
F087-1,3,crnl,3,1,F087,3,DROP_2_OF_3,13,LED12,2,,,,,,,NO,,WFI02_FULL
F087-1,3,crnl,3,1,F087,3,DROP_2_OF_3,13,LED12,20,,,,,,,NO,,WFI02_FULL
F087-1,3,crnl,3,1,F087,6,DROP_2_OF_3,6,LED12,200,,,,,,,NO,,WFI02_FULL
F087-1,3,crnl,3,1,F087,12,DROP_2_OF_3,4,LED12,500,,,,,,,YES,,WFI02_FULL
F184-1,1,dark,1,NONE,DARK,1,DROP_2_OF_3,13,,,,,,,,,,,
F184-1,2,lit,2,1,F184,3,DROP_2_OF_3,13,,,,,,,,,,,WFI02_FULL
F184-1,3,crnl,3,1,F184,3,DROP_2_OF_3,13,LED16,2,30,111.8,,,,,NO,,WFI02_FULL
F184-1,3,crnl,3,1,F184,3,DROP_2_OF_3,13,LED16,20,30,865.4,,,,,NO,,WFI02_FULL
F184-1,3,crnl,3,1,F184,6,DROP_2_OF_3,6,LED16,200,30,5769.6,,,,,NO,,WFI02_FULL
F184-1,3,crnl,3,1,F184,12,DROP_2_OF_3,4,LED16,500,30,16187.7,,,,,YES,,WFI02_FULL
